request_id,barangay,municipality,province,sitio,request_type,urgency_level,severity_level,impact_scope,location_type,time_reported,weather_condition,past_similar_reports,ml_priority,final_priority
203,Bagumbayan,Santa Cruz,Laguna,Sitio 3,Garbage Collection,Low,Minor,2,School Zone,Night,Storm,6,Low,High
204,Bagumbayan,Santa Cruz,Laguna,Sitio 3,Road Damage,Normal,Minor,29,Residential Area,Morning,Rainy,7,Moderate,Moderate
205,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Streetlight Repair,Low,Moderate,17,Public Facility,Night,Normal,2,Moderate,High
206,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Power Outage,Normal,Minor,75,School Zone,Night,Rainy,2,High,High
207,Bagumbayan,Santa Cruz,Laguna,Sitio 1,Streetlight Repair,Urgent,Moderate,22,Highway,Afternoon,Normal,6,Moderate,Moderate
208,Bagumbayan,Santa Cruz,Laguna,Sitio 1,Power Outage,Normal,Severe,96,Residential Area,Afternoon,Normal,1,High,High
209,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Streetlight Repair,Urgent,Moderate,149,Commercial Area,Night,Rainy,2,High,High
210,Bagumbayan,Santa Cruz,Laguna,Sitio 6,Flooding,Urgent,Moderate,119,School Zone,Morning,Storm,7,High,High
211,Bagumbayan,Santa Cruz,Laguna,Sitio 1,Garbage Collection,Normal,Minor,10,Residential Area,Afternoon,Rainy,6,Moderate,Moderate
212,Bagumbayan,Santa Cruz,Laguna,Sitio 1,Garbage Collection,Normal,Moderate,140,Commercial Area,Afternoon,Normal,5,High,High
213,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Tree Obstruction,Low,Moderate,70,Highway,Afternoon,Rainy,2,High,High
214,Bagumbayan,Santa Cruz,Laguna,Sitio 3,Water Leakage,Urgent,Moderate,128,Residential Area,Night,Rainy,1,High,High
215,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Water Leakage,Urgent,Minor,111,Commercial Area,Morning,Normal,5,High,High
216,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Tree Obstruction,Normal,Moderate,76,School Zone,Night,Rainy,5,High,High
217,Bagumbayan,Santa Cruz,Laguna,Sitio 7,Power Outage,Low,Severe,115,Public Facility,Afternoon,Rainy,0,High,High
218,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Power Outage,Urgent,Severe,20,Public Facility,Night,Storm,2,High,High
219,Bagumbayan,Santa Cruz,Laguna,Sitio 6,Public Safety Incident,Low,Severe,8,Residential Area,Morning,Normal,3,Low,Low
220,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Streetlight Repair,Normal,Moderate,94,Public Facility,Morning,Storm,7,High,High
221,Bagumbayan,Santa Cruz,Laguna,Sitio 7,Road Damage,Normal,Moderate,95,Public Facility,Morning,Storm,5,High,High
222,Bagumbayan,Santa Cruz,Laguna,Sitio 3,Garbage Collection,Normal,Severe,102,Residential Area,Morning,Storm,2,High,High
223,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Road Damage,Urgent,Moderate,128,Commercial Area,Afternoon,Storm,7,High,High
224,Bagumbayan,Santa Cruz,Laguna,Sitio 6,Public Safety Incident,Urgent,Moderate,55,School Zone,Morning,Normal,1,High,High
225,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Road Damage,Low,Severe,116,Commercial Area,Night,Rainy,1,High,High
226,Bagumbayan,Santa Cruz,Laguna,Sitio 3,Flooding,Urgent,Moderate,141,School Zone,Afternoon,Storm,3,High,High
227,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Public Safety Incident,Low,Minor,32,Residential Area,Afternoon,Storm,5,High,High
228,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Road Damage,Urgent,Minor,120,Residential Area,Afternoon,Rainy,7,High,High
229,Bagumbayan,Santa Cruz,Laguna,Sitio 7,Road Damage,Normal,Moderate,135,School Zone,Afternoon,Storm,1,High,High
230,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Power Outage,Normal,Severe,116,School Zone,Night,Storm,2,High,High
231,Bagumbayan,Santa Cruz,Laguna,Sitio 7,Streetlight Repair,Normal,Severe,34,Residential Area,Night,Normal,4,High,High
232,Bagumbayan,Santa Cruz,Laguna,Sitio 6,Garbage Collection,Low,Moderate,43,Commercial Area,Night,Rainy,1,High,High
233,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Water Leakage,Low,Severe,65,School Zone,Night,Rainy,1,High,High
234,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Flooding,Urgent,Minor,129,School Zone,Night,Storm,5,High,High
235,Bagumbayan,Santa Cruz,Laguna,Sitio 1,Streetlight Repair,Low,Minor,145,Public Facility,Afternoon,Storm,3,High,High
236,Bagumbayan,Santa Cruz,Laguna,Sitio 6,Streetlight Repair,Normal,Severe,147,Highway,Night,Storm,4,High,High
237,Bagumbayan,Santa Cruz,Laguna,Sitio 7,Tree Obstruction,Normal,Minor,78,Commercial Area,Afternoon,Normal,0,High,High
238,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Public Safety Incident,Normal,Moderate,41,School Zone,Afternoon,Storm,2,High,High
239,Bagumbayan,Santa Cruz,Laguna,Sitio 6,Power Outage,Urgent,Moderate,81,Highway,Morning,Rainy,1,High,High
240,Bagumbayan,Santa Cruz,Laguna,Sitio 1,Water Leakage,Low,Moderate,82,Highway,Morning,Normal,1,High,High
241,Bagumbayan,Santa Cruz,Laguna,Sitio 7,Tree Obstruction,Normal,Moderate,13,School Zone,Morning,Rainy,5,Moderate,High
242,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Public Safety Incident,Low,Moderate,49,Highway,Afternoon,Rainy,0,High,High
243,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Garbage Collection,Normal,Severe,24,School Zone,Night,Rainy,0,Moderate,High
244,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Public Safety Incident,Normal,Moderate,13,Commercial Area,Night,Normal,1,Moderate,Moderate
245,Bagumbayan,Santa Cruz,Laguna,Sitio 6,Power Outage,Low,Moderate,111,Highway,Afternoon,Normal,6,High,High
246,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Power Outage,Urgent,Severe,14,Public Facility,Afternoon,Normal,6,High,High
247,Bagumbayan,Santa Cruz,Laguna,Sitio 3,Road Damage,Normal,Severe,130,School Zone,Morning,Rainy,5,High,High
248,Bagumbayan,Santa Cruz,Laguna,Sitio 7,Flooding,Urgent,Moderate,87,School Zone,Night,Storm,6,High,High
249,Bagumbayan,Santa Cruz,Laguna,Sitio 1,Flooding,Low,Minor,129,Commercial Area,Afternoon,Storm,7,High,High
250,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Power Outage,Urgent,Severe,39,Public Facility,Afternoon,Normal,6,High,High
251,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Public Safety Incident,Urgent,Moderate,77,Public Facility,Afternoon,Rainy,0,High,High
252,Bagumbayan,Santa Cruz,Laguna,Sitio 1,Tree Obstruction,Normal,Severe,95,Public Facility,Afternoon,Storm,0,High,High
253,Bagumbayan,Santa Cruz,Laguna,Sitio 7,Garbage Collection,Normal,Severe,122,Residential Area,Night,Rainy,2,High,High
254,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Tree Obstruction,Urgent,Severe,135,School Zone,Night,Normal,0,High,High
255,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Streetlight Repair,Urgent,Minor,147,Highway,Afternoon,Rainy,2,High,High
256,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Public Safety Incident,Urgent,Minor,106,Residential Area,Night,Normal,3,High,High
257,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Tree Obstruction,Normal,Severe,144,Commercial Area,Morning,Rainy,5,High,High
258,Bagumbayan,Santa Cruz,Laguna,Sitio 7,Water Leakage,Normal,Severe,140,Public Facility,Afternoon,Normal,3,High,High
259,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Water Leakage,Urgent,Moderate,72,Commercial Area,Night,Normal,7,High,High
260,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Water Leakage,Normal,Moderate,82,Commercial Area,Morning,Storm,6,High,High
261,Bagumbayan,Santa Cruz,Laguna,Sitio 3,Streetlight Repair,Normal,Minor,102,Commercial Area,Night,Normal,5,High,High
262,Bagumbayan,Santa Cruz,Laguna,Sitio 6,Public Safety Incident,Urgent,Moderate,114,School Zone,Morning,Storm,4,High,High
263,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Road Damage,Urgent,Moderate,144,Public Facility,Night,Storm,3,High,High
264,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Garbage Collection,Low,Severe,63,School Zone,Morning,Normal,6,High,High
265,Bagumbayan,Santa Cruz,Laguna,Sitio 1,Flooding,Urgent,Moderate,85,Residential Area,Night,Normal,6,High,High
266,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Water Leakage,Normal,Severe,122,Commercial Area,Afternoon,Storm,0,High,High
267,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Streetlight Repair,Urgent,Severe,23,School Zone,Afternoon,Normal,0,High,High
268,Bagumbayan,Santa Cruz,Laguna,Sitio 6,Water Leakage,Normal,Minor,102,Residential Area,Morning,Rainy,1,High,High
269,Bagumbayan,Santa Cruz,Laguna,Sitio 6,Public Safety Incident,Normal,Moderate,86,School Zone,Night,Rainy,4,High,High
270,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Public Safety Incident,Low,Moderate,50,Commercial Area,Night,Normal,0,High,High
271,Bagumbayan,Santa Cruz,Laguna,Sitio 6,Garbage Collection,Normal,Severe,87,School Zone,Night,Storm,6,High,High
272,Bagumbayan,Santa Cruz,Laguna,Sitio 1,Tree Obstruction,Urgent,Moderate,110,Residential Area,Morning,Normal,7,High,High
273,Bagumbayan,Santa Cruz,Laguna,Sitio 3,Tree Obstruction,Low,Minor,83,School Zone,Afternoon,Rainy,5,High,High
274,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Streetlight Repair,Urgent,Severe,78,Commercial Area,Night,Rainy,3,High,High
275,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Water Leakage,Urgent,Minor,16,School Zone,Afternoon,Storm,4,Low,High
276,Bagumbayan,Santa Cruz,Laguna,Sitio 3,Garbage Collection,Urgent,Moderate,31,School Zone,Morning,Rainy,2,High,High
277,Bagumbayan,Santa Cruz,Laguna,Sitio 3,Tree Obstruction,Urgent,Severe,117,Public Facility,Afternoon,Storm,3,High,High
278,Bagumbayan,Santa Cruz,Laguna,Sitio 7,Road Damage,Urgent,Severe,64,Public Facility,Afternoon,Storm,5,High,High
279,Bagumbayan,Santa Cruz,Laguna,Sitio 1,Garbage Collection,Urgent,Minor,20,Public Facility,Night,Normal,2,Low,Low
280,Bagumbayan,Santa Cruz,Laguna,Sitio 1,Garbage Collection,Urgent,Moderate,84,Public Facility,Afternoon,Normal,7,High,High
281,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Tree Obstruction,Normal,Minor,15,Highway,Night,Normal,7,Moderate,Moderate
282,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Water Leakage,Urgent,Minor,79,Residential Area,Night,Normal,1,High,High
283,Bagumbayan,Santa Cruz,Laguna,Sitio 6,Road Damage,Normal,Moderate,12,Public Facility,Morning,Normal,7,Moderate,Moderate
284,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Flooding,Normal,Moderate,9,Highway,Afternoon,Rainy,7,Moderate,Moderate
285,Bagumbayan,Santa Cruz,Laguna,Sitio 6,Flooding,Normal,Minor,97,Commercial Area,Morning,Normal,6,High,High
286,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Streetlight Repair,Low,Severe,136,Residential Area,Afternoon,Rainy,6,High,High
287,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Public Safety Incident,Normal,Minor,137,Commercial Area,Morning,Rainy,3,High,High
288,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Streetlight Repair,Low,Severe,29,School Zone,Morning,Normal,1,Low,High
289,Bagumbayan,Santa Cruz,Laguna,Sitio 6,Streetlight Repair,Normal,Severe,9,School Zone,Night,Normal,6,Moderate,High
290,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Streetlight Repair,Low,Severe,113,School Zone,Night,Rainy,3,High,High
291,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Power Outage,Normal,Severe,148,School Zone,Afternoon,Normal,3,High,High
292,Bagumbayan,Santa Cruz,Laguna,Sitio 1,Flooding,Normal,Moderate,106,Highway,Night,Rainy,0,High,High
293,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Power Outage,Urgent,Severe,89,Highway,Afternoon,Normal,4,High,High
294,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Garbage Collection,Low,Severe,97,School Zone,Afternoon,Storm,2,High,High
295,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Tree Obstruction,Low,Severe,119,Public Facility,Night,Normal,6,High,High
296,Bagumbayan,Santa Cruz,Laguna,Sitio 3,Road Damage,Normal,Minor,63,Highway,Afternoon,Normal,3,High,High
297,Bagumbayan,Santa Cruz,Laguna,Sitio 6,Streetlight Repair,Normal,Moderate,14,Residential Area,Morning,Storm,3,Moderate,Moderate
298,Bagumbayan,Santa Cruz,Laguna,Sitio 3,Streetlight Repair,Low,Moderate,123,School Zone,Morning,Storm,1,High,High
299,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Garbage Collection,Low,Severe,123,Highway,Morning,Storm,5,High,High
300,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Power Outage,Normal,Moderate,73,Commercial Area,Afternoon,Rainy,7,High,High
301,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Power Outage,Low,Severe,120,School Zone,Afternoon,Rainy,6,High,High
302,Bagumbayan,Santa Cruz,Laguna,Sitio 6,Flooding,Urgent,Minor,12,Residential Area,Afternoon,Storm,6,Low,High
303,Bagumbayan,Santa Cruz,Laguna,Sitio 3,Garbage Collection,Low,Minor,76,Highway,Night,Normal,7,High,High
304,Bagumbayan,Santa Cruz,Laguna,Sitio 3,Water Leakage,Urgent,Severe,141,Highway,Night,Storm,7,High,High
305,Bagumbayan,Santa Cruz,Laguna,Sitio 7,Power Outage,Low,Severe,118,School Zone,Morning,Storm,7,High,High
306,Bagumbayan,Santa Cruz,Laguna,Sitio 1,Streetlight Repair,Urgent,Severe,48,Residential Area,Night,Normal,0,High,High
307,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Road Damage,Low,Severe,106,School Zone,Morning,Normal,7,High,High
308,Bagumbayan,Santa Cruz,Laguna,Sitio 6,Public Safety Incident,Low,Severe,96,Highway,Morning,Normal,6,High,High
309,Bagumbayan,Santa Cruz,Laguna,Sitio 6,Water Leakage,Low,Severe,4,Public Facility,Afternoon,Normal,6,Low,Low
310,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Flooding,Low,Minor,46,School Zone,Morning,Storm,4,High,High
311,Bagumbayan,Santa Cruz,Laguna,Sitio 1,Power Outage,Normal,Moderate,91,Highway,Afternoon,Storm,3,High,High
312,Bagumbayan,Santa Cruz,Laguna,Sitio 7,Road Damage,Normal,Severe,58,Residential Area,Morning,Rainy,6,High,High
313,Bagumbayan,Santa Cruz,Laguna,Sitio 1,Streetlight Repair,Urgent,Moderate,97,School Zone,Morning,Rainy,6,High,High
314,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Streetlight Repair,Urgent,Minor,85,School Zone,Morning,Storm,7,High,High
315,Bagumbayan,Santa Cruz,Laguna,Sitio 6,Water Leakage,Low,Minor,70,Public Facility,Night,Storm,0,High,High
316,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Flooding,Normal,Minor,46,Highway,Morning,Rainy,2,High,High
317,Bagumbayan,Santa Cruz,Laguna,Sitio 7,Tree Obstruction,Low,Severe,145,Public Facility,Afternoon,Rainy,2,High,High
318,Bagumbayan,Santa Cruz,Laguna,Sitio 3,Streetlight Repair,Urgent,Severe,21,Residential Area,Afternoon,Normal,1,High,High
319,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Tree Obstruction,Urgent,Severe,88,Commercial Area,Morning,Storm,4,High,High
320,Bagumbayan,Santa Cruz,Laguna,Sitio 3,Tree Obstruction,Normal,Minor,116,Highway,Morning,Storm,6,High,High
321,Bagumbayan,Santa Cruz,Laguna,Sitio 7,Garbage Collection,Urgent,Moderate,22,Residential Area,Morning,Rainy,2,Moderate,Moderate
322,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Tree Obstruction,Urgent,Severe,98,Commercial Area,Afternoon,Normal,1,High,High
323,Bagumbayan,Santa Cruz,Laguna,Sitio 3,Water Leakage,Normal,Moderate,2,Residential Area,Morning,Normal,2,Moderate,Moderate
324,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Tree Obstruction,Normal,Severe,111,Residential Area,Morning,Normal,5,High,High
325,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Power Outage,Low,Severe,142,Highway,Morning,Rainy,6,High,High
326,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Garbage Collection,Low,Severe,100,Public Facility,Night,Normal,6,High,High
327,Bagumbayan,Santa Cruz,Laguna,Sitio 3,Water Leakage,Low,Moderate,44,Highway,Morning,Normal,2,High,High
328,Bagumbayan,Santa Cruz,Laguna,Sitio 3,Public Safety Incident,Normal,Moderate,112,Residential Area,Afternoon,Rainy,3,High,High
329,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Public Safety Incident,Urgent,Severe,127,Residential Area,Morning,Rainy,0,High,High
330,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Power Outage,Normal,Severe,102,Highway,Afternoon,Rainy,2,High,High
331,Bagumbayan,Santa Cruz,Laguna,Sitio 6,Garbage Collection,Normal,Severe,77,Highway,Afternoon,Normal,6,High,High
332,Bagumbayan,Santa Cruz,Laguna,Sitio 6,Public Safety Incident,Normal,Severe,82,Public Facility,Morning,Rainy,6,High,High
333,Bagumbayan,Santa Cruz,Laguna,Sitio 1,Garbage Collection,Normal,Moderate,72,Public Facility,Night,Normal,0,High,High
334,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Water Leakage,Urgent,Minor,119,Residential Area,Afternoon,Storm,7,High,High
335,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Water Leakage,Urgent,Moderate,36,School Zone,Night,Rainy,6,High,High
336,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Tree Obstruction,Normal,Severe,19,Public Facility,Night,Storm,6,Moderate,Moderate
337,Bagumbayan,Santa Cruz,Laguna,Sitio 6,Road Damage,Low,Moderate,140,Residential Area,Morning,Storm,5,High,High
338,Bagumbayan,Santa Cruz,Laguna,Sitio 1,Tree Obstruction,Urgent,Severe,43,Commercial Area,Afternoon,Normal,0,High,High
339,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Garbage Collection,Normal,Minor,26,Highway,Afternoon,Rainy,7,Moderate,Moderate
340,Bagumbayan,Santa Cruz,Laguna,Sitio 1,Public Safety Incident,Low,Moderate,129,Residential Area,Afternoon,Rainy,1,High,High
341,Bagumbayan,Santa Cruz,Laguna,Sitio 3,Water Leakage,Urgent,Minor,30,Commercial Area,Afternoon,Normal,7,Low,Low
342,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Public Safety Incident,Normal,Minor,90,Commercial Area,Morning,Rainy,0,High,High
343,Bagumbayan,Santa Cruz,Laguna,Sitio 6,Road Damage,Low,Moderate,30,School Zone,Night,Normal,2,Moderate,High
344,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Tree Obstruction,Low,Moderate,142,Highway,Morning,Rainy,2,High,High
345,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Tree Obstruction,Urgent,Severe,48,Residential Area,Night,Storm,3,High,High
346,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Streetlight Repair,Urgent,Moderate,116,School Zone,Morning,Rainy,1,High,High
347,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Power Outage,Low,Severe,148,Commercial Area,Morning,Rainy,1,High,High
348,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Power Outage,Urgent,Moderate,68,Public Facility,Afternoon,Storm,6,High,High
349,Bagumbayan,Santa Cruz,Laguna,Sitio 7,Public Safety Incident,Normal,Moderate,30,Public Facility,Morning,Storm,4,Moderate,Moderate
350,Bagumbayan,Santa Cruz,Laguna,Sitio 3,Road Damage,Urgent,Minor,22,School Zone,Afternoon,Normal,2,Low,High
351,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Tree Obstruction,Urgent,Minor,96,Highway,Night,Normal,6,High,High
352,Bagumbayan,Santa Cruz,Laguna,Sitio 6,Flooding,Low,Moderate,109,Public Facility,Morning,Rainy,4,High,High
353,Bagumbayan,Santa Cruz,Laguna,Sitio 7,Public Safety Incident,Low,Moderate,36,Public Facility,Morning,Rainy,0,High,High
354,Bagumbayan,Santa Cruz,Laguna,Sitio 7,Tree Obstruction,Low,Minor,125,Public Facility,Night,Storm,7,High,High
355,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Public Safety Incident,Urgent,Moderate,105,Highway,Morning,Normal,0,High,High
356,Bagumbayan,Santa Cruz,Laguna,Sitio 3,Garbage Collection,Normal,Minor,57,Public Facility,Afternoon,Normal,7,High,High
357,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Road Damage,Urgent,Moderate,145,Public Facility,Morning,Rainy,5,High,High
358,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Garbage Collection,Low,Severe,139,Highway,Morning,Storm,3,High,High
359,Bagumbayan,Santa Cruz,Laguna,Sitio 3,Power Outage,Low,Moderate,77,Residential Area,Afternoon,Normal,3,High,High
360,Bagumbayan,Santa Cruz,Laguna,Sitio 6,Power Outage,Urgent,Severe,54,Public Facility,Night,Rainy,2,High,High
361,Bagumbayan,Santa Cruz,Laguna,Sitio 7,Streetlight Repair,Low,Minor,36,Public Facility,Afternoon,Storm,4,High,High
362,Bagumbayan,Santa Cruz,Laguna,Sitio 6,Water Leakage,Low,Moderate,138,Commercial Area,Night,Rainy,1,High,High
363,Bagumbayan,Santa Cruz,Laguna,Sitio 3,Flooding,Normal,Minor,35,School Zone,Morning,Normal,5,High,High
364,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Flooding,Urgent,Moderate,64,Public Facility,Night,Rainy,6,High,High
365,Bagumbayan,Santa Cruz,Laguna,Sitio 6,Road Damage,Normal,Minor,97,Highway,Night,Storm,4,High,High
366,Bagumbayan,Santa Cruz,Laguna,Sitio 3,Streetlight Repair,Normal,Moderate,95,Residential Area,Night,Rainy,5,High,High
367,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Tree Obstruction,Urgent,Moderate,17,School Zone,Afternoon,Rainy,5,Moderate,High
368,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Flooding,Normal,Severe,73,Public Facility,Afternoon,Rainy,0,High,High
369,Bagumbayan,Santa Cruz,Laguna,Sitio 7,Public Safety Incident,Low,Severe,12,Residential Area,Morning,Normal,7,Low,Low
370,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Flooding,Low,Moderate,117,Commercial Area,Morning,Rainy,1,High,High
371,Bagumbayan,Santa Cruz,Laguna,Sitio 3,Flooding,Normal,Minor,93,Residential Area,Afternoon,Storm,4,High,High
372,Bagumbayan,Santa Cruz,Laguna,Sitio 1,Road Damage,Normal,Severe,60,Residential Area,Morning,Rainy,1,High,High
373,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Public Safety Incident,Urgent,Minor,34,Residential Area,Morning,Storm,5,High,High
374,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Public Safety Incident,Normal,Severe,31,Residential Area,Morning,Rainy,1,High,High
375,Bagumbayan,Santa Cruz,Laguna,Sitio 3,Water Leakage,Low,Moderate,27,School Zone,Afternoon,Normal,2,Moderate,High
376,Bagumbayan,Santa Cruz,Laguna,Sitio 1,Flooding,Urgent,Severe,18,Highway,Afternoon,Storm,3,High,High
377,Bagumbayan,Santa Cruz,Laguna,Sitio 6,Public Safety Incident,Normal,Severe,39,School Zone,Morning,Normal,2,High,High
378,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Power Outage,Urgent,Severe,32,Highway,Afternoon,Normal,3,High,High
379,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Water Leakage,Urgent,Minor,71,Residential Area,Night,Rainy,3,High,High
380,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Tree Obstruction,Urgent,Severe,133,Commercial Area,Night,Normal,3,High,High
381,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Public Safety Incident,Normal,Minor,127,Public Facility,Morning,Storm,0,High,High
382,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Tree Obstruction,Normal,Minor,93,Commercial Area,Night,Storm,2,High,High
383,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Road Damage,Low,Minor,121,Residential Area,Afternoon,Normal,0,High,High
384,Bagumbayan,Santa Cruz,Laguna,Sitio 3,Tree Obstruction,Normal,Severe,16,Highway,Night,Rainy,1,Moderate,Moderate
385,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Water Leakage,Urgent,Severe,138,Residential Area,Afternoon,Normal,3,High,High
386,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Road Damage,Urgent,Moderate,40,Commercial Area,Night,Rainy,3,High,High
387,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Road Damage,Low,Minor,15,Highway,Night,Storm,0,Low,Low
388,Bagumbayan,Santa Cruz,Laguna,Sitio 6,Flooding,Urgent,Severe,80,Residential Area,Morning,Storm,2,High,High
389,Bagumbayan,Santa Cruz,Laguna,Sitio 3,Water Leakage,Low,Moderate,3,School Zone,Afternoon,Normal,4,Moderate,High
390,Bagumbayan,Santa Cruz,Laguna,Sitio 7,Tree Obstruction,Low,Moderate,31,Commercial Area,Night,Normal,4,High,High
391,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Public Safety Incident,Urgent,Minor,148,Public Facility,Afternoon,Normal,7,High,High
392,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Water Leakage,Low,Moderate,146,Residential Area,Night,Storm,1,High,High
393,Bagumbayan,Santa Cruz,Laguna,Sitio 1,Streetlight Repair,Urgent,Severe,59,Residential Area,Morning,Normal,7,High,High
394,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Streetlight Repair,Normal,Minor,94,Public Facility,Night,Storm,6,High,High
395,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Power Outage,Normal,Minor,58,Commercial Area,Morning,Storm,5,High,High
396,Bagumbayan,Santa Cruz,Laguna,Sitio 1,Flooding,Urgent,Severe,31,School Zone,Night,Normal,6,High,High
397,Bagumbayan,Santa Cruz,Laguna,Sitio 7,Water Leakage,Normal,Moderate,18,Commercial Area,Morning,Storm,7,Moderate,Moderate
398,Bagumbayan,Santa Cruz,Laguna,Sitio 3,Water Leakage,Normal,Minor,3,Public Facility,Morning,Rainy,5,Moderate,Moderate
399,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Garbage Collection,Low,Severe,127,School Zone,Morning,Rainy,0,High,High
400,Bagumbayan,Santa Cruz,Laguna,Sitio 6,Streetlight Repair,Urgent,Moderate,60,Commercial Area,Morning,Storm,6,High,High
401,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Garbage Collection,Low,Minor,79,Highway,Afternoon,Normal,2,High,High
402,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Tree Obstruction,Low,Minor,72,Commercial Area,Afternoon,Storm,1,High,High
403,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Tree Obstruction,Low,Severe,149,Residential Area,Night,Storm,0,High,High
404,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Water Leakage,Urgent,Minor,112,Commercial Area,Afternoon,Rainy,5,High,High
